0						
0	0	411	-1	-1	-1	0
1	0	414	-1	-1	-1	1
2	0	412	-1	-1	-1	2
3	0	413	-1	-1	-1	2
4	0	415	-1	-1	-1	2
5	1	-1	14	371	3	-1
6	1	-1	14	371	5	-1
7	1	-1	14	42	5	-1
8	1	-1	20	125	0	-1
9	1	-1	16	510	0	-1
10	1	-1	20	120	5	-1
11	1	-1	20	121	0	-1
12	1	-1	20	144	0	-1
13	1	-1	20	147	0	-1
end
//MuPass						
1						
1	0	-1	-1	-1	-1	-1
2	-1	-1	-1	-1	-1	-1
3	0	-1	-1	-1	-1	-1
4	-1	-1	-1	-1	-1	-1
5	0	-1	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	-1
7	0	-1	-1	-1	-1	-1
8	-1	-1	-1	-1	-1	-1
9	0	-1	-1	-1	-1	-1
10	-1	-1	-1	-1	-1	-1
11	0	-1	-1	-1	-1	-1
12	-1	-1	-1	-1	-1	-1
13	0	-1	-1	-1	-1	-1
14	-1	-1	-1	-1	-1	-1
15	0	-1	-1	-1	-1	-1
16	-1	-1	-1	-1	-1	-1
17	0	-1	-1	-1	-1	-1
18	-1	-1	-1	-1	-1	-1
19	0	-1	-1	-1	-1	-1
20	-1	-1	-1	-1	-1	-1
end	
//GoldPass					
2						
1	1	-1	-1	-1	-1	-1
2	-1	-1	-1	10	-1	-1
3	-1	-1	-1	-1	-1	-1
4	-1	-1	7	-1	-1	-1
5	1	5	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	-1
7	-1	-1	-1	10	-1	-1
8	-1	-1	-1	-1	-1	-1
9	-1	-1	-1	-1	-1	-1
10	1	5	-1	-1	-1	-1
11	-1	-1	7	-1	-1	-1
12	-1	-1	-1	10	-1	-1
13	-1	-1	-1	-1	-1	-1
14	-1	-1	-1	-1	-1	-1
15	1	5	-1	-1	-1	-1
16	-1	-1	-1	-1	-1	-1
17	-1	-1	-1	10	-1	-1
18	-1	-1	7	-1	-1	-1
19	-1	-1	-1	-1	-1	-1
20	1	5	-1	-1	-1	-1
end						
3						
1	2	4	3	12	13	-1
2	2	4	-1	-1	5	-1
3	2	4	-1	-1	-1	-1
4	2	4	-1	-1	6	-1
5	2	4	3	-1	-1	-1
6	2	4	-1	-1	5	-1
7	2	4	-1	-1	-1	-1
8	2	4	-1	-1	6	-1
9	2	4	-1	-1	-1	-1
10	2	4	3	-1	5	-1
11	2	4	-1	-1	-1	-1
12	2	4	-1	-1	6	-1
13	2	4	-1	-1	-1	-1
14	2	4	-1	-1	5	-1
15	2	4	3	-1	-1	-1
16	2	4	-1	-1	6	-1
17	2	4	-1	-1	-1	-1
18	2	4	-1	-1	5	-1
19	2	4	-1	-1	-1	-1
20	2	4	3	6	8	11
end						
