// - Class    = 0,6,11,16,	DW,SM,GM
//            = 1,12,17,	DK,BK,BM  
//            = 2,7,18,		Elf,ME,HE
// -	      = 8,13,		MG,DM    
//            = 3,14,19		DL,LE     
//            = 4,9,20,		SU,BS,DS
//	      = 10, 15,     	RF
0
//ID	 Class	  Name	  	StoreName	ShopType	DelItems	Map	PosX	PosY	Dir	Gens	GensRank	OnlyVip		MaxLevel
//0	1	 "StoreBK"	"StoreBK"		3	0		0	132	163	3	1	3		0		800	
//1	0	 "StoreSM"	"StoreSM"		3	0		0	132	161	3	1	3		0		800	
//2	2	 "StoreME"	"StoreME"		3	0		0	132	159	3	1	3		0		800	
//3	8	 "StoreMG"	"StoreMG"		3	0		0	132	157	3	1	3		0		800	
//4	3	 "StoreDL"	"StoreDL"		3	0		0	132	155	3	1	3		0		800	
//5	4	 "StoreSU"	"StoreSU"		3	0		0	132	153	3	1	3		0		800	
//6	10	 "StoreRF"	"StoreRF"		3	0		0	135	159	7	1	3		0		800	

//7	1	 "StoreBK"	"StoreBK"		3	0		2	234	49	2	1	3		0		800	
//8	0	 "StoreSM"	"StoreSM"		3	0		2	232	49	2	1	3		0		800	
//9	2	 "StoreME"	"StoreME"		3	0		2	230	49	2	1	3		0		800	
//10	8	 "StoreMG"	"StoreMG"		3	0		2	228	49	2	1	3		0		800	
//11	3	 "StoreDL"	"StoreDL"		3	0		2	226	49	2	1	3		0		800	
//12	4	 "StoreSU"	"StoreSU"		3	0		2	224	49	2	1	3		0		800	
//13	10	 "StoreRF"	"StoreRF"		3	0		2	222	49	2	1	3		0		800	
end

1
//ID	Slot	ItemSection	ItemType	ItemLevel	ItemOption
0	0	0		0		15		8
0	1	0		0		15		8
0	2	7		1		15		8
0	3	8		1		15		8
0	4	9		1		15		8
0	5	10		1		15		8
0	6	11		1		15		8
0	7	12		36		15		8

1	0	5		5		15		8
1	2	7		3		15		8
1	3	8		3		15		8
1	4	9		3		15		8
1	5	10		3		15		8
1	6	11		3		15		8
1	7	12		37		15		8

2	0	4		5		15		8
2	2	7		14		15		8
2	3	8		14		15		8
2	4	9		14		15		8
2	5	10		14		15		8
2	6	11		14		15		8
2	7	12		38		15		8

3	0	0		31		15		8
3	3	8		15		15		8
3	4	9		15		15		8
3	5	10		15		15		8
3	6	11		15		15		8
3	7	12		39		15		8

4	0	2		10		15		8
4	3	8		26		15		8
4	4	9		26		15		8
4	5	10		26		15		8
4	6	11		26		15		8
4	7	12		40		15		8

5	0	5		15		15		8
5	2	7		40		15		8
5	3	8		40		15		8
5	4	9		40		15		8
5	5	10		40		15		8
5	6	11		40		15		8
5	7	12		43		15		8

6	0	34		15		15		8
6	2	7		59		15		8
6	3	8		59		15		8
6	4	9		59		15		8
6	5	10		59		15		8
6	6	11		59		15		8
6	7	12		50		15		8


7	0	0		0		15		8
7	1	0		0		15		8
7	2	7		46		15		8
7	3	8		46		15		8
7	4	9		46		15		8
7	5	10		46		15		8
7	6	11		46		15		8
7	7	12		36		15		8

8	0	5		5		15		8
8	2	7		52		15		8
8	3	8		52		15		8
8	4	9		52		15		8
8	5	10		52		15		8
8	6	11		52		15		8
8	7	12		37		15		8

9	0	4		5		15		8
9	2	7		49		15		8
9	3	8		49		15		8
9	4	9		49		15		8
9	5	10		49		15		8
9	6	11		49		15		8
9	7	12		38		15		8

10	0	0		31		15		8
10	3	8		48		15		8
10	4	9		48		15		8
10	5	10		48		15		8
10	6	11		48		15		8
