//Class   Strength   Dexterity   Vitality   Energy   Leadership   MaxLife   MaxMana   LevelLife   LevelMana   VitalityToLife   EnergyToMana
0         18         18          15         30       0            60        60        1.0         2.0         2.0              2.0			// 0  - Dark Wizard
1         28         20          25         10       0            110       20        2.0         0.5         3.0              1.0			// 1  - Blade Knight
2         22         25          20         15       0            80        30        1.0         1.5         2.0              1.5			// 2  - Elf 
3         26         26          26         26       0            110       60        1.0         1.0         2.0              2.0			// 3  - Magic Gladiator
4         26         20          20         15       25           90        40        1.5         1.0         2.0              1.5			// 4  - Dark Lord
5         21         21          18         23       0            70        40        1.0         1.5         2.0              1.7			// 5  - Summoner
6         32         27          25         20       0            100       40        1.3         1.0         2.0              1.3			// 6  - Rage Fighter
7         30         30          25         24       0            110       40        2.0         1.0         2.0              1.0			// 7  - Grow Lancer
8         13         18          14         40       0            60        60        1.2         1.8         2.0              1.5			// 8  - Rune Wizard
9         28         30          15         10       0            130       10        1.5         1.0         3.0              1.0			// 9  - Slayer
10        20         18          20         25       0            100       80        1.5         1.5         2.0              2.0			// 10 - Gun Crusher
11        19         19          15         30       0            70        70        2.0         2.0         2.0              2.0			// 11 - Kundum Mephis
12        18         18          19         30       0            88        65        1.0         1.5         2.0              2.0			// 12 - Lemuria
13        25         28          15         15       0            100       26        2.0         1.5         2.0              1.2			// 13 - Illusion Knight
end
