11	"로랜시아 이동"																									
0	1	1	1	3	-1	1	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	5	-1	-1	-1	-1	-1	17	0	167	129	85	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	"노리아 이동"																									
0	1	1	1	3	-1	1	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	5	-1	-1	-1	-1	-1	27	3	168	86	85	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	"엘베란드 이동"																									
0	1	1	1	3	-1	1	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	5	-1	-1	-1	-1	-1	267	51	72	218	85	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	"로랜시아 거미 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	2	3	-1	3	-1	-1	17	0	193	126	300	2000	14	373	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	"노리아 거미 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	2	3	-1	3	-1	-1	27	3	164	80	300	2000	14	373	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	"엘베란드 거미 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	2	3	-1	3	-1	-1	267	51	118	222	300	2000	14	373	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	"로랜시아 소뿔전사 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	2	0	-1	5	-1	-1	17	0	179	55	500	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	"노리아 고리전갈 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	2	27	-1	5	-1	-1	27	3	136	79	500	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	"엘베란드 오염된나비 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	2	421	-1	5	-1	-1	267	51	132	212	500	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	"로랜시아 자이언트 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	2	7	-1	5	-1	-1	17	0	42	52	1200	7000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	"노리아 풍뎅이괴물 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	2	28	-1	5	-1	-1	27	3	102	83	1200	7000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	"엘베란드 기괴한토끼 잡기"																									
0	1	1	2	3	-1	2	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	2	418	-1	5	-1	-1	267	51	126	192	1200	7000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	"로랜시아 장비상인 이동"																									
0	1	1	1	3	-1	5	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	5	-1	-1	-1	-1	-1	17	0	117	140	100	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	"노리아 장비상인 이동"																									
0	1	1	1	3	-1	5	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	5	-1	-1	-1	-1	-1	27	3	173	126	100	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	"엘베란드 장비상인 이동"																									
0	1	1	1	3	-1	5	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	5	-1	-1	-1	-1	-1	267	51	31	236	100	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	"로랜시아 사과 수집"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	1	14	0	5	0	0	17	0	193	126	1000	200	14	373	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	"노리아 사과 수집"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	1	14	0	5	0	0	27	3	164	80	1000	200	14	373	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	"엘베란드 사과 수집"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	1	14	0	5	0	0	267	51	118	222	1000	200	14	373	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	"로랜시아 소뿔전사대장 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	2	4	-1	7	-1	-1	17	0	34	98	1500	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	"노리아 헌터 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	2	29	-1	7	-1	-1	27	3	106	37	1500	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	"엘베란드 기괴한토끼 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	2	418	-1	7	-1	-1	267	51	126	192	1500	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	"로랜시아 하운드 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	2	1	-1	7	-1	-1	17	0	63	195	2000	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	"노리아 고블린대장 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	2	33	-1	7	-1	-1	27	3	81	116	2000	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	"엘베란드 흉측한토끼 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
1	2	419	-1	7	-1	-1	267	51	142	144	2000	8000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	"로랜시아 해골전사 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	1	1	0	1	1	0	1	1	0	1	0	1	1	-1	-1
1	2	14	-1	10	-1	-1	17	0	118	207	2200	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	"노리아 숲의괴물 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	-1	-1
1	2	30	-1	10	-1	-1	27	3	134	208	2200	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	"엘베란드 흉측한토끼 잡기"																									
0	1	1	2	3	-1	5	1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	-1
