0
//Index		Section   Type	RequiereIndex	RequiereMasterIndex	RequierePoints
723		12	  289	43		339			10
724		12	  290	2		390			10
725		12	  291	2		390			10
726		12	  292	9		385			10
727		12	  293	24		411			10
//728		12	  294	24		418			10
729		12	  295	215		455			10
730		12	  296	215		455			10
731		12	  297	55		490			10
732		12	  298	55		490			10
733		12	  299	13		484			10
734		12	  300	2		484			10
//735		12	  301	61		508			10
736		12	  302	61		508			10
737		12	  303	238		523			10
//738		12	  304	264		561			10
739		12	  305	263		559			10
//741		12	  402	24		431			10
//742		12	  403	277		699			10
282		12	  413	262		558			10
285		15	  39	284		751			10
288		15	  45	225		778			10
294		12	  479	293		782			10
1501		12	  486	43		339			10
2003		12	  493	2002		824			10
2005		12	  495	2004		826			10

end					
