//|================================================================|
//| CashShop Editor  - Season 18                                   |
//| By OMEGA and Oliveira                                          |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1010	1010	150	7330	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Magic Backpack (1 UN)
1020	1020	200	7331	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Vault Expansion Certificate (1 UN)
1030	1030	100	6716	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Indulgence (1 UN)
1040	1040	100	7485	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Talisman Element Change (1 UN)
1050	1050	75	7488	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Blessing of Spirit (1 UN)
1060	1060	995	7484	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Expansion Scroll of Radiance slot (1 UN)
1070	1070	75	7377	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Tradeable Seal (1 UN)
1080	1080	25	7581	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Coin of Miracle (1 UN)
1090	1090	55	6738	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Talisman of Item Protection (1 Days)
1090	1091	365	6738	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Talisman of Item Protection (7 Days)
1090	1092	1225	6738	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Talisman of Item Protection (30 Days)
1100	1100	15	7280	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Silver Key (1 UN)
1110	1110	20	7281	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Gold Key (1 UN)
1120	1120	20	7238	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Elite Healing Potion (1 UN)
1130	1130	20	7239	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Elite Mana Potion (1 UN)
1140	1140	20	7301	0	0	0	0	0	0	0	0	255	255	255	255	255	50	0	// Elite SD Potion (1 UN)
1180	1180	40	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Seal of Ascension (1 Days)
1180	1181	250	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Seal of Ascension (7 Days)
1180	1182	550	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Seal of Ascension (30 Days)
1190	1190	45	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Seal of Wealth (1 Days)
1190	1191	270	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Seal of Wealth (7 Days)
1190	1192	700	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Seal of Wealth (30 Days)
1200	1200	35	6719	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Seal of Divinity (1 Days)
1200	1201	245	6719	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Seal of Divinity (7 Days)
1200	1202	1050	6719	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Seal of Divinity (30 Days)
1210	1210	45	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Master Seal of Ascension (1 Days)
1210	1211	280	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Master Seal of Ascension (7 Days)
1210	1212	750	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Master Seal of Ascension (30 Days)
1220	1220	50	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Master Seal of Wealth (1 Days)
1220	1221	300	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Master Seal of Wealth (7 Days)
1220	1222	800	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Master Seal of Wealth (30 Days)
1230	1230	30	6738	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Talisman of Item Protection (1 Days)
1230	1231	210	6738	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Talisman of Item Protection (7 Days)
1230	1232	800	6738	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Talisman of Item Protection (30 Days)
1240	1240	45	6718	0	0	0	0	0	0	0	0	255	255	255	255	255	1	86400	// Seal of Healing (1 Days)
1240	1241	750	6718	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Seal of Healing (7 Days)
1240	1242	800	6718	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Seal of Healing (30 Days)
1250	1250	435	6833	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Talisman of Ascension I (7 Days)
1260	1260	875	6834	0	0	0	0	0	0	0	0	255	255	255	255	255	1	604800	// Talisman of Ascension II (7 Days)
1260	1261	3500	6834	0	0	0	0	0	0	0	0	255	255	255	255	255	1	2592000	// Talisman of Ascension II (30 Days)
1270	1270	150	7431	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Bless of Light (Low Grade) (1 UN)
1280	1280	250	7432	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Bless of Light (Middle Grade) (1 UN)
1290	1290	500	7392	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Bless of Light (Greater) (1 UN)
1300	1300	15	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Quickness (30 Minutes)
1310	1310	15	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Defense (30 Minutes)
1320	1320	15	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Wrath (30 Minutes)
1330	1330	15	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Wizardry (30 Minutes)
1340	1340	15	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Health (30 Minutes)
1350	1350	15	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Mana (30 Minutes)
1360	1360	15	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Battle (30 Minutes)
1370	1370	15	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	1	1800	// Scroll of Strength (30 Minutes)
1380	1380	40	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Demon (1 Days)
1380	1381	280	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Demon (7 Days)
1380	1382	1200	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Demon (30 Days)
1390	1390	30	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Spirit of Guardian (1 Days)
1390	1391	210	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Spirit of Guardian (7 Days)
1390	1392	900	6721	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Spirit of Guardian (30 Days)
1400	1400	30	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pet Panda (1 Days)
1400	1401	185	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Panda (7 Days)
1400	1402	350	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Panda (30 Days)
1410	1410	40	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pet Skeleton (1 Days)
1410	1411	220	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Skeleton (7 Days)
1410	1412	950	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Skeleton (30 Days)
1420	1420	30	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pet Unicorn (1 Days)
1420	1421	185	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pet Unicorn (7 Days)
1420	1422	350	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pet Unicorn (30 Days)
1430	1430	225	6878	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Premium Muun Egg (1 UN)
1440	1440	30	6676	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Wizards Ring (1 Days)
1440	1441	210	6676	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Wizards Ring (7 Days)
1440	1442	900	6676	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Wizards Ring (30 Days)
1450	1450	40	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Skeleton Transformation Ring (1 Days)
1450	1451	220	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Skeleton Transformation Ring (7 Days)
1450	1452	950	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Skeleton Transformation Ring (30 Days)
1460	1460	40	6821	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Great Heavenly Mage Ring (1 Days)
1460	1461	220	6821	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Great Heavenly Mage Ring (7 Days)
1460	1462	950	6821	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Great Heavenly Mage Ring (30 Days)
1470	1470	40	6819	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Robot Knight Ring (1 Days)
1470	1471	220	6819	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Robot Knight Ring (7 Days)
1470	1472	950	6819	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Robot Knight Ring (30 Days)
1480	1480	30	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Panda Ring (1 Days)
1480	1481	185	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Panda Ring (7 Days)
1480	1482	550	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Panda Ring (30 Days)
1490	1490	90	6733	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Brown Panda Ring (1 Days)
1490	1491	550	6733	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Brown Panda Ring (7 Days)
1490	1492	1950	6733	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Brown Panda Ring (30 Days)
1500	1500	100	6734	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Pink Panda Ring (1 Days)
1500	1501	600	6734	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Pink Panda Ring (7 Days)
1500	1502	2200	6734	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Pink Panda Ring (30 Days)
1510	1510	12	6765	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Sapphire Ring (1 Days)
1510	1511	84	6765	0	0	0	0	0	0	0	0	255	255	255	255	255	255	604800	// Sapphire Ring (7 Days)
1510	1512	360	6765	0	0	0	0	0	0	0	0	255	255	255	255	255	255	2592000	// Sapphire Ring (30 Days)
1520	1520	12	6767	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Topaz Ring (1 Days)
1520	1521	84	6767	0	0	0	0	0	0	0	0	255	255	255	255	255	255	604800	// Topaz Ring (7 Days)
1520	1522	360	6767	0	0	0	0	0	0	0	0	255	255	255	255	255	255	2592000	// Topaz Ring (30 Days)
1530	1530	12	6768	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Amethyst Ring (1 Days)
