//Type   GremorySend   Index   Quantity   Level   Option1   Option2   Option3   NewOption   RequireIndex   RequireState   DW      DK      FE      MG      DL      SU      RF      GL	RW	SL	GC
1        0	       200     10         0       0         0         0         0           0              1              1       1       1       0       0       1       0       0	1	1	1
1        0	       200     10         0       0         0         0         0           1              1              1       1       1       0       0       1       0       0	1	1	1
2        0	       201     0          0       0         0         0         0           1              1              1       1       1       0       0       1       0       0	1	1	1
4        0	       202     0          0       0         0         0         0           2              1              2       2       2       0       0       2       0       0	2	1	1
8        0	       203     0          0       0         0         0         0           3              1              0       2       0       0       0       0       0       1	0	0	0
1        0	       200     20         0       0         0         0         0           4              1              2       2       2       1       1       2       1       1	2	2	2
1        0	       200     20         0       0         0         0         0           5              1              2       2       2       1       1       2       1       1	2	2	2
1        0	       200     30         0       0         0         0         0           6              1              2       2       2       1       1       2       1       1	2	2	2
16       0	       204     0          0       0         0         0         0           6              1              2       2       2       1       1       2       1       1	2	2	2
1        0	       200     20         0       0         0         0         0           7              1              3       3       3       3       3       3       3       3	3	3	3
1        0	       200     30         0       0         0         0         0           8              1              3       3       3       3       3       3       3       3	3	3	3
1        0	       200     50         0       0         0         0         0           9              1              3       3       3       3       3       3       3       3	3	3	3
5        1	       6811    1          0       0         0         0         0           9              1              3       3       3       3       3       3       3       3	3	3	3
32       0	       206     0          0       0         0         0         0           9              1              3       3       3       3       3       3       3       3	3	3	3
end
